trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'e': 0.18667127671570335, 'a': 0.2}",35,26,19.768254181630656,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'e': 0.18480456394854633, 'a': 0.2}",30,20,6.227001013337992,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'e': 0.18295651830906087, 'a': 0.2}",25,18,8.972118565662106,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.18112695312597027, 'a': 0.2}",20,12,2.982021301461992,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'e': 0.17931568359471056, 'a': 0.2}",20,9,1.9347245461765965,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'e': 0.17752252675876345, 'a': 0.2}",30,0,19.600428912980743,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
173,False,"{'e': 0.17574730149117582, 'a': 0.2}",20,6,-20.494117136635065,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'e': 0.17398982847626407, 'a': 0.2}",20,4,-42.819803213956,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'e': 0.17224993019150142, 'a': 0.2}",25,17,12.157756920402143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.1705274308895864, 'a': 0.2}",20,2,-31.72413541577993,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'e': 0.16882215658069055, 'a': 0.2}",25,0,-13.200288847522717,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
178,False,"{'e': 0.16713393501488363, 'a': 0.2}",30,16,5.990008775883451,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'e': 0.16546259566473479, 'a': 0.2}",25,6,6.19653951335828,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
180,False,"{'e': 0.16380796970808745, 'a': 0.2}",20,10,-8.755095366349082,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
181,False,"{'e': 0.16216989001100657, 'a': 0.2}",25,10,-29.107974557999036,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'e': 0.1605481911108965, 'a': 0.2}",20,14,11.07221645723079,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
